"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","904","Создание заказа. Использование параметризации для выбора цвета. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestCreatingOrder","test_creating_order","",""
"","12978","Список заказов. Проверка тела ответа на содержание списка заказов","tests","2026-06-30","passed","2026-06-30","TestOrdersList","test_get_order_list","",""
"","876","Логин курьера. Успешная авторизация с валидными данными. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestLoginCourier","test_login_courier","",""
"","844","Создание курьеров с незаполненными полями (логин, пароль). Использование параметризации","tests","2026-06-30","passed","2026-06-30","TestCreatingCourier","test_creating_courier","",""
"","932","Удаление курьера. Отправка запроса с неверным id. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestDeleteCourier","test_delete_courier","",""
"","865","Принятие заказа. В запросе не указываем id курьера. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestAcceptOrder","test_accept_order","",""
"","917","Запрос на получение заказа без номера. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestGetOrderByNumber","test_get_order_by_number","",""
"","2681","Создание курьера. Проверка кода и тела ответа","tests","2026-06-30","passed","2026-06-30","TestCreatingCourier","test_creating_courier","",""
"","912","Логин курьера. Ошибка при незаполнении обязательных полей. Использовании параметризации","tests","2026-06-30","passed","2026-06-30","TestLoginCourier","test_login_courier","",""
"","888","Запрос на получение заказа с несуществующим номером. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestGetOrderByNumber","test_get_order_by_number","",""
"","923","Удаление курьера. Отправка запроса без id. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestDeleteCourier","test_delete_courier","",""
"","854","Создание заказа. Использование параметризации для выбора цвета. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestCreatingOrder","test_creating_order","",""
"","1002","Логин курьера. Ошибка при использовании невалидных данных","tests","2026-06-30","passed","2026-06-30","TestLoginCourier","test_login_courier","",""
"","3772","Принятие заказа. Успешный запрос с id курьера и заказа. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestAcceptOrder","test_accept_order","",""
"","1821","Принятие заказа. В запросе указываем неверный id заказа. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestAcceptOrder","test_accept_order","",""
"","998","Создание курьеров с одинаковыми данными. Проверка реагирования системы на ввод одинаковых данных для регистрации","tests","2026-06-30","passed","2026-06-30","TestCreatingCourier","test_creating_courier","",""
"","1865","Удаление курьера. Успешное удаление существующего курьера. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestDeleteCourier","test_delete_courier","",""
"","929","Создание курьеров с незаполненными полями (логин, пароль). Использование параметризации","tests","2026-06-30","passed","2026-06-30","TestCreatingCourier","test_creating_courier","",""
"","1042","Принятие заказа. В запросе указываем неверный id курьера. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestAcceptOrder","test_accept_order","",""
"","991","Логин курьера. Ошибка при использовании невалидных данных","tests","2026-06-30","passed","2026-06-30","TestLoginCourier","test_login_courier","",""
"","1033","Логин курьера. Ошибка при использовании невалидных данных","tests","2026-06-30","passed","2026-06-30","TestLoginCourier","test_login_courier","",""
"","994","Логин курьера. Ошибка при незаполнении обязательных полей. Использовании параметризации","tests","2026-06-30","passed","2026-06-30","TestLoginCourier","test_login_courier","",""
"","1856","Принятие заказа. В запросе не указываем id заказа. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestAcceptOrder","test_accept_order","",""
"","1886","Успешное получение заказа по его номеру. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestGetOrderByNumber","test_get_order_by_number","",""
"","940","Создание заказа. Использование параметризации для выбора цвета. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestCreatingOrder","test_creating_order","",""
"","938","Создание заказа. Использование параметризации для выбора цвета. Проверка тела ответа","tests","2026-06-30","passed","2026-06-30","TestCreatingOrder","test_creating_order","",""
